127.0.0.1, 2016-05-13 21:43:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2016-05-13 21:54:20, GET, /admin/default/design/app, HTTP/1.1, 200, 0.768980
127.0.0.1, 2016-05-13 21:54:21, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000804
127.0.0.1, 2016-05-13 21:54:21, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000422
127.0.0.1, 2016-05-13 21:54:21, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000498
127.0.0.1, 2016-05-13 21:54:21, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000537
127.0.0.1, 2016-05-13 21:54:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2016-05-13 21:54:26, GET, /app/appadmin/index, HTTP/1.1, 200, 0.114017
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000625
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000741
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000630
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/js/jquery.js, HTTP/1.1, 304, 0.000586
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/css/calendar.css, HTTP/1.1, 304, 0.000648
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001333
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/js/calendar.js, HTTP/1.1, 304, 0.001427
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/js/web2py.js, HTTP/1.1, 304, 0.000733
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000640
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/js/share.js, HTTP/1.1, 304, 0.000593
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/images/gplus-32.png, HTTP/1.1, 304, 0.001294
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/images/facebook.png, HTTP/1.1, 304, 0.001338
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/images/twitter.png, HTTP/1.1, 304, 0.003104
127.0.0.1, 2016-05-13 21:54:27, GET, /app/appadmin/hooks, HTTP/1.1, 200, 0.089941
127.0.0.1, 2016-05-13 21:54:27, GET, /app/static/images/favicon.ico, HTTP/1.1, 304, 0.000375
127.0.0.1, 2016-05-13 21:54:44, GET, /app/appadmin/index, HTTP/1.1, 200, 0.111061
127.0.0.1, 2016-05-13 21:54:45, GET, /app/appadmin/hooks, HTTP/1.1, 200, 0.070652
127.0.0.1, 2016-05-13 21:54:47, GET, /admin/default/design/app, HTTP/1.1, 200, 0.317070
127.0.0.1, 2016-05-13 21:54:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000414
127.0.0.1, 2016-05-13 21:54:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2016-05-13 22:03:20, GET, /admin/default/design/app, HTTP/1.1, 200, 0.316315
127.0.0.1, 2016-05-13 22:03:20, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.000797
127.0.0.1, 2016-05-13 22:03:20, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.000957
